route_short_name,route_long_name,n,bp_Easy,bp_Hard,bp_Medium,bp_NA,cf_Easy,cf_Hard,cf_Medium,cf_NA,rg_Easy,rg_Hard,rg_Medium,rg_NA
100,Forest Lake/Inala - City,64,43,1,5,15,30,5,20,9,40,7,8,9
101,Forest Lake - Oxley Station via Inala Durack,59,24,0,11,24,25,5,11,18,32,2,7,18
102,Inala - Oxley,34,17,0,4,13,25,1,8,0,25,3,6,0
103,Centenary - Inala Plaza,52,34,0,8,10,31,5,11,5,27,4,16,5
104,Corinda - PA Hospital via Tennyson,58,33,1,11,13,31,6,18,3,39,4,12,3
105,Indooroopilly - City via Yeronga,86,50,1,11,24,42,7,26,11,52,9,14,11
106,Mt Ommaney - Indooroopilly via Corinda,64,39,0,10,15,35,6,16,7,37,5,15,7
107,Yeronga - City,42,24,0,6,12,19,2,14,7,25,3,7,7
108,Indooroopilly - City via Tennyson,60,34,1,9,16,27,4,21,8,37,5,10,8
110,Inala - City,46,27,0,1,18,21,2,13,10,27,2,7,10
111,Eight Mile Plains - City,10,1,0,0,9,1,0,0,9,1,0,0,9
112,Griffith Uni Mt Gravatt - City,60,28,2,10,20,30,8,16,6,30,17,7,6
113,Mt Gravatt Central - City,98,44,5,12,37,51,14,21,12,52,16,18,12
114,Tarragindi - City,49,26,1,7,15,29,10,9,1,27,16,5,1
115,Calamvale - City via Acacia Ridge Express,55,31,0,1,23,25,3,16,11,30,5,9,11
116,Rocklea - City/Valley,76,39,6,17,14,35,10,24,7,36,15,18,7
117,Acacia Ridge - Woollongabba,75,40,3,6,26,44,9,13,9,48,2,16,9
118,Forest Lake - City,31,15,0,2,14,16,1,7,7,17,3,4,7
120,Garden City - City via Tarragindi,33,22,1,1,9,14,5,8,6,12,6,9,6
121,Salisbury - City/Valley,43,22,4,2,15,23,5,12,3,21,10,9,3
122,Inala - Garden City,76,35,1,9,31,37,10,19,10,46,9,11,10
122,Inala - Garden City (Community Bus),76,35,1,9,31,37,10,19,10,46,9,11,10
123,Griffith University - Garden City,81,39,2,17,23,47,11,19,4,52,8,17,4
124,Sunnybank - City/Valley,75,45,2,10,18,41,8,16,10,36,6,23,10
125,Garden City - City/Valley via Salisbury,80,53,1,6,20,38,8,20,14,41,5,20,14
126,Acacia Ridge - Sunnybank Plaza,20,8,0,4,8,8,1,5,6,9,4,1,6
130,Parkinson - City,47,26,0,3,18,25,0,10,12,27,6,2,12
131,Parkinson - City via Hellawell Rd,37,19,1,2,15,17,1,8,11,19,3,4,11
132,Parkinson/Algester - Garden City,50,23,0,6,21,23,6,10,11,29,1,9,11
134,Griffith University - City Rocket,4,2,0,0,2,2,0,0,2,1,0,1,2
135,Parkinson - City Express,47,26,0,2,19,19,2,10,16,20,0,11,16
136,Parkinson - City Precincts,37,22,0,2,13,21,1,10,5,25,5,2,5
138,Algester - City,15,8,0,0,7,8,0,2,5,4,2,4,5
139,Sunnybank Hills - UQ Lakes,26,9,0,2,15,11,0,5,10,15,1,0,10
140,Browns Plains - City Express via Mains Road,30,14,0,3,13,15,0,7,8,20,1,1,8
145,Browns Plains - Griffith University,34,19,0,3,12,15,1,10,8,22,1,3,8
150,Browns Plains - City Express via Runcorn,43,27,1,0,15,21,2,7,13,19,3,8,13
152,Stretton - Garden City,57,28,1,10,18,40,3,13,1,41,3,12,1
153,Drewvale - City Rocket,40,18,0,1,21,15,1,6,18,17,2,3,18
155,Calamvale - City Express via Griffith Uni,45,31,0,3,11,25,3,10,7,23,4,11,7
156,Stretton - City Rocket,34,25,0,2,7,23,1,7,3,20,2,9,3
160,Garden City - City,10,1,1,0,8,2,0,0,8,1,0,1,8
161,Wishart Outlook - City,14,2,2,3,7,5,0,2,7,2,2,3,7
162,Eight Miles Plains - City Rocket,1,0,0,0,1,0,0,0,1,0,0,0,1
169,Eight Mile Plains - UQ Lakes,11,2,0,0,9,1,0,1,9,2,0,0,9
170,Garden City - City Express via Newnham Road,16,7,0,3,6,5,1,4,6,8,1,1,6
171,Garden City - City/Valley Rocket via Newnham Road,32,13,0,13,6,13,4,9,6,14,4,8,6
172,Garden City - City via Greenslopes Hospital,90,40,3,14,33,38,15,22,15,51,13,11,15
174,Garden City - City/Valley via Newnham Road,86,32,0,16,38,35,9,17,25,44,6,11,25
175,Garden City - City via Logan Rd,71,28,0,10,33,31,4,15,21,41,3,6,21
177,Carindale - Griffith Uni Mt Gravatt,42,25,1,11,5,17,9,15,1,25,11,5,1
178,Carindale Heights - City/Valley via Mt Gravatt,45,25,1,7,12,19,7,11,8,26,6,5,8
180,Garden City - City Express via Mansfield,34,13,0,9,12,14,4,8,8,16,3,7,8
181,Wishart - City/Valley Rocket,41,12,2,14,13,12,9,11,9,18,7,7,9
184,Garden City - City/Valley via Mt Gravatt Central,90,31,3,25,31,47,13,19,11,52,8,19,11
185,Garden City - City/Valley via Mansfield,91,29,3,25,34,46,11,19,15,48,12,16,15
186,Wishart - City Rocket,30,18,1,2,9,15,2,10,3,16,3,8,3
192,UQ Lakes - City via Highgate Hill,50,20,1,18,11,24,6,15,5,32,4,9,5
195,New Farm - City,28,16,0,3,9,17,5,2,4,16,3,5,4
196,Fairfield Gardens - Merthyr via City/Valley,75,46,0,12,17,40,10,16,9,46,6,14,9
198,Highgate Hill Hail 'n' Ride,42,22,2,10,8,22,7,9,4,21,5,12,4
199,West End - Teneriffe Ferry via City/Valley,48,24,0,6,18,23,3,15,7,33,4,4,7
200,Carindale Heights - City Express,30,14,1,4,11,8,4,8,10,12,4,4,10
202,Carindale - City,62,23,2,13,24,30,8,20,4,38,14,6,4
203,Carindale - City/Valley,60,22,2,8,28,32,6,9,13,31,10,6,13
204,Carindale - City/Valley,77,20,1,30,26,34,14,17,12,45,9,11,12
209,Carindale - UQ Lakes,11,2,0,3,6,2,0,4,5,4,1,1,5
210,Cannon Hill - City/Valley,60,24,1,18,17,27,12,12,9,24,12,15,9
212,Carindale - City/Valley via Seven Hills,52,19,1,16,16,24,11,12,5,30,10,7,5
213,Cannon Hill - Carindale Express,33,13,0,6,14,13,5,8,7,22,1,3,7
214,Cannon Hill - City Express,20,6,1,3,10,11,1,4,4,13,1,2,4
215,Carindale - City Express via Tingalpa,66,27,1,9,29,31,7,17,11,41,4,10,11
220,Wynnum - City Express,60,29,1,6,24,31,6,14,9,40,3,8,9
222,Carindale - City Express via Eastern Busway,12,2,0,4,6,4,0,3,5,5,1,1,5
223,Wynnum Loop Clockwise,67,26,1,11,29,28,14,11,14,31,8,14,14
224,Wynnum Loop Anti-Clockwise,67,27,4,11,25,36,8,15,8,46,5,8,8
225,Wynnum - Carindale,66,37,0,7,22,28,8,21,9,41,4,12,9
227,Wynnum - City,95,44,2,14,35,49,15,10,21,54,6,14,21
230,Balmoral - City via Riding Road,78,33,3,10,32,45,8,16,9,54,4,11,9
232,Cannon Hill - City,98,53,5,7,33,62,11,16,9,64,9,16,9
234,Woolloongabba - City Loop,18,7,0,2,9,5,2,3,8,6,1,3,8
235,Balmoral - City/Valley via Thynne Road,77,35,2,12,28,47,6,16,8,50,8,11,8
240,Capalaba - Wynnum,48,13,1,2,32,20,2,4,22,25,0,1,22
242,Wakerley - Carindale (Loop),24,5,0,0,19,5,0,2,17,6,0,1,17
243,Capalaba - Brisbane City,30,8,0,0,22,11,1,2,16,11,1,2,16
250,Redland Bay - Brisbane City,18,6,0,1,11,3,1,4,10,5,1,2,10
251,Ormiston - Brisbane City,11,7,0,1,3,4,1,4,2,5,1,3,2
253,Capalaba - Thorneside,2,0,0,0,2,0,0,0,2,0,0,0,2
260,Capalaba - QEII Hospital,18,6,0,1,11,5,1,2,10,2,1,5,10
261,Mackenzie - Brisbane City,24,6,0,2,16,7,0,2,15,6,0,3,15
262,Capalaba - QEII Hospital via Burbank,21,6,0,2,13,5,0,3,13,3,0,5,13
265,Maridale Park - Brisbane City,7,4,0,1,2,3,0,2,2,2,0,3,2
267,Alexandra Hills - Brisbane City,12,8,0,1,3,5,1,4,2,5,1,4,2
27,Kangaroo Point - City shuttle,2,0,0,0,2,0,0,0,2,0,0,0,2
270,Victoria Point Jetty - Carindale,14,5,0,1,8,2,1,4,7,4,1,2,7
273,Cleveland - Brisbane City via Redland Bay Rd,11,7,0,1,3,4,1,4,2,5,1,3,2
275,Thornlands - Brisbane City via Finucane Rd,11,7,0,1,3,4,1,4,2,5,1,3,2
276,Victoria Point - Brisbane City,16,2,0,2,12,2,0,2,12,3,0,1,12
279,Victoria Point Jetty - Brisbane City,16,2,0,2,12,2,0,2,12,3,0,1,12
28,Langlands Park - UQ Lakes shuttle,6,1,0,0,5,0,0,1,5,1,0,0,5
280,Point Talburpin - Griffith Uni,13,1,0,2,10,1,0,2,10,2,0,1,10
281,Point Talburpin - Brisbane City,16,3,0,2,11,3,0,2,11,3,0,2,11
29,Woolloongabba - UQ Lakes Shuttle,5,1,0,0,4,0,0,1,4,1,0,0,4
299,Rochedale - Brisbane City,13,4,0,1,8,5,0,0,8,3,1,1,8
30,Spring Hill  Loop,10,8,0,0,2,5,1,2,2,0,3,5,2
300,Toombul - City via Hamilton,55,27,1,3,24,28,10,11,6,39,2,8,6
301,Toombul - City via Hendra,79,44,2,1,32,45,10,15,9,51,7,12,9
302,Pinkenba - City,39,17,1,4,17,13,8,7,11,21,2,5,11
303,Myrtletown - Doomben,27,10,1,2,14,14,3,3,7,18,1,1,7
304,Northsore Hamilton Loop via Doomben Station,14,6,0,1,7,5,2,2,5,9,0,0,5
305,Hamilton - City,26,18,0,3,5,9,9,6,2,19,1,4,2
306,Nudgee/Toombul - City,122,53,5,30,34,67,23,24,8,95,5,14,8
307,Northgate East - Toombul Loop,33,9,3,11,10,20,7,2,4,27,0,2,4
308,Toombul - Chermside Loop,13,5,1,3,4,7,2,3,1,9,0,3,1
310,Brighton - City Express,45,28,2,7,8,32,4,8,1,38,3,3,1
311,Brighton - Sandgate (Community Bus 1),19,11,2,4,2,10,3,4,2,12,0,5,2
312,Sandgate - Brighton (Community Bus 2),21,10,2,4,5,7,6,7,1,13,0,7,1
313,Shorncliffe (Community Bus),4,1,0,0,3,1,0,0,3,1,0,0,3
314,Sandgate - Deagon & Shorncliffe (Community Bus),19,2,1,0,16,2,0,1,16,3,0,0,16
320,Chermside - City via Wavell Heights,75,38,2,11,24,30,17,16,12,33,18,12,12
321,Toombul - City via Kalinga,67,40,6,5,16,44,10,11,2,43,9,13,2
322,Chermside - City via Toombul,98,48,4,22,24,44,24,25,5,54,14,25,5
325,Boondall - City Express,67,33,2,14,18,35,10,17,5,46,6,10,5
